TABREF CLTN_ID,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
ID,NAMA,,,
1,CLTN,,,
2,Prajurit Wajib,,,
3,Pengaktifan kembali dari CLTN,,,
4,Pengaktifan kembali dari Prajurit Wajib,,,
5,Perpanjangan CLTN,,,
6,Tugas Belajar,,,
7,Perpanjangan Tugas Belajar,,,
8,Pengaktifan dari Tugas Belajar,,,
9,Pejabat Negara,,,
10,Kepala Desa,,,
11,Pengaktifan kembali Pejabat Negara,,,
12,Pengaktifan kembali Kepala Desa,,,
,,,,
,,,,
META DATA,,,,
Name,Null?,Type,Parameter,Keterangan
ID,NOT NULL,VARCHAR2(2),,ID yang otomatis ter-generate saat data dibuat
NAMA,NOT NULL,VARCHAR2(40),,Nama CLTN
