TABREF HARGA_ID,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
100,BINTANG,,Name,Null?,Type,Parameter,Keterangan
101,R.I  ADIPURNA,,ID,NOT NULL,VARCHAR2(3),,ID yang otomatis ter-generate saat data dibuat
102,R.I  ADIPRADANA,,NAMA,NOT NULL,VARCHAR2(50),,Nama Jenis Penghargaan
103,R.I  UTAMA,,,,,,
104,R.I  PRATAMA,,,,,,
105,R.I  NARARYA,,,,,,
106,MAHAPUTERA ADIPURNA,,,,,,
107,MAHAPUTERA ADIPRADANA,,,,,,
108,MAHAPUTERA UTAMA,,,,,,
109,MAHAPUTERA PRATAMA,,,,,,
110,MAHAPUTERA NARARYA,,,,,,
111,TANDA PENGHARGAAN TRIKORA,,,,,,
112,TP PEMBEBASAN IRIAN BARAT,,,,,,
201,KARYA SATYA 10 TAHUN,,,,,,
202,KARYA SATYA  20 TAHUN,,,,,,
203,KARYA SATYA  30 TAHUN,,,,,,
204,WIRA KARYA,,,,,,
300,TANDA JASA LAINNYA,,,,,,
301,TP  SIDHAKARYA ADHYAKSA,,,,,,
302,TP  PURNABAKTI ADHYAKSA,,,,,,
303,TP  DHARMA ADHYAKSA,,,,,,
304,TP TELADAN  TK NASIONAL,,,,,,
305,TP TELADAN  TK PROPINSI,,,,,,
306,TP TELADAN TK KABUPATEN/KOTA,,,,,,
307,TP PNS LUAR BIASA PRESTASINYA,,,,,,
308,TP PENEMUAN BERMANFAAT BAGI NEGARA,,,,,,
309,SISWA TELADAN,,,,,,
310,OLIMPIADE,,,,,,
400,TANDA PENGHARGAAN LAINNYA,,,,,,
