TABREF INSTANSI_ID,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
ID,NAMA,JENIS,CEPAT_KODE,JENIS_INSTANSI_ID,,META DATA,,,,
A5EB03E23BE8F6A0E040640A040252AD,"Kementerian Koordinator Bidang Politik, Hukum dan Keamanan",P,1010,KO,,Name,Null?,Type,Parameter,Keterangan
A5EB03E23BE9F6A0E040640A040252AD,Kementerian Koordinator Bidang Perekonomian,P,1020,KO,,ID,NOT NULL,VARCHAR2(32),,ID yang otomatis ter-generate saat data dibuat
A5EB03E23BEAF6A0E040640A040252AD,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,P,1030,KO,,NAMA,NOT NULL,VARCHAR2(100),,Nama Instansi
0C37093AED94370CE050640A1502102F,Kementerian Koordinator Bidang Kemaritiman dan Investasi,P,1040,KO,,JENIS,,VARCHAR(1),,"Jenis instansi P: Pusat, D: Daerah"
A5EB03E23BEBF6A0E040640A040252AD,Kementerian Riset dan Teknologi/Badan Riset dan Inovasi Nasional,P,2000,KEMENT,,CEPAT_KODE,,VARCHAR(10),,Cepat kode instansi
A5EB03E23BECF6A0E040640A040252AD,Kementerian Koperasi dan Usaha Kecil dan Menengah,P,2010,KEMENT,,JENIS_INSTANSI_ID,,VARCHAR(10),,"Jenis instansi KO: Kementerian Koordinator, KEMENT: Kementerian, LPNK: Lembaga non Kementerian, LNS: Lembaga non Struktural, PROV: Provinsi, KAB: Kabupaten, KOTA: Kota"
A5EB03E23BEDF6A0E040640A040252AD,Kementerian Lingkungan Hidup,P,2020,,,,,,,
A5EB03E23BEFF6A0E040640A040252AD,Kementerian Badan Usaha Milik Negara,P,2040,KEMENT,,,,,,
A5EB03E23BF0F6A0E040640A040252AD,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,P,2050,KEMENT,,,,,,
A5EB03E23BF1F6A0E040640A040252AD,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,P,2060,KEMENT,,,,,,
