TABREF JENIS_HUKUMAN_ID,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
ID,NAMA,JENIS_TINGKAT_HUKUMAN_ID,,
1,TEGURAN LISAN,R,,
2,TEGURAN TERTULIS,R,,
3,PERNYATAAN TIDAK PUAS SECARA TERTULIS,R,,
4,PENUNDAAN KGB SELAMA 1 THN,S,,
5,PENURUNAN GAJI MAX 1 TH,S,,
6,PENUNDAAN GAJI MAX 1 THN,S,,
7,PENUNDAAN KP SELAMA 1 THN,S,,
8,PENURUNAN PANGKAT 1 TINGKAT 1 THN,S,,
9,PEMBEBASAN DARI JABATAN,B,,
10,PEMBERHENTIAN DENGAN HORMAT TIDAK ATAS PERMINTAAN SENDIRI,B,,
11,PEMBERHENTIAN TIDAK DENGAN HORMAT SEBAGAI PNS,B,,
12,PENGAKTIFAN HUKUMAN DISIPLIN,B,,
13,PEMINDAHAN DLM RANGKA PENURUNAN JABATAN 1 TINGKAT,B,,
14,PENURUNAN PANGKAT 1 TINGKAT 3 THN,B,,
21,SANKSI MORAL TERBUKA,R,,
22,SANKSI MORAL TERTUTUP,R,,
23,PEMOTONGAN TUNKIN 25% 6 BLN,S,,
24,PEMOTONGAN TUNKIN 25% 9 BLN,S,,
25,PEMOTONGAN TUNKIN 25% 12 BLN,S,,
27,PENURUNAN DARI JABATAN SETINGKAT LEBIH RENDAH SELAMA 12 BLN,B,,
28,PEMBEBASAN DARI JABATAN MENJADI PELAKSANA SELAMA 12 BLN,B,,
,,,,
,,,,
,,,,
META DATA,,,,
Name,Null?,Type,Parameter,Keterangan
ID,NOT NULL,VARCHAR2(2),,ID yang otomatis ter-generate saat data dibuat
NAMA,NOT NULL,VARCHAR2(60),,Nama Jenis Hukuman Disiplin
