TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
A5EB03E201F8F6A0E040640A040252AD,2001,ADMINISTRASI KEUANGAN DAERAH,,Name,Null?,Type,Parameter,Keterangan
A5EB03E201F9F6A0E040640A040252AD,2002,ADMINISTRASI PERKANTORAN,,ID,NOT NULL,VARCHAR2(2),,ID yang otomatis ter-generate saat data dibuat
A5EB03E201FAF6A0E040640A040252AD,2003,AIR LIMBAH,,JENIS_KURSUS_SERTIPIKAT,NOT NULL,VARCHAR2(100),,Nama Kursus
A5EB03E201FBF6A0E040640A040252AD,2004,ALIH TEKNOLOGI,,,,,,
A5EB03E201FCF6A0E040640A040252AD,2005,AMDAL A DAN B,,,,,,
A5EB03E201FDF6A0E040640A040252AD,2006,ANALISA STATISTIK/DEMOGRAFI,,,,,,
A5EB03E201FEF6A0E040640A040252AD,2007,ANALISIS JABATAN,,,,,,
A5EB03E201FFF6A0E040640A040252AD,2008,ANIMAL NATION,,,,,,
A5EB03E20200F6A0E040640A040252AD,2009,APLIKASI KEPEGAWAIAN,,,,,,
A5EB03E20201F6A0E040640A040252AD,2010,ARGONOMI,,,,,,
A5EB03E20202F6A0E040640A040252AD,2011,ASPAL BUTAS,,,,,,
A5EB03E20203F6A0E040640A040252AD,2012,ASPAL HOTMIX,,,,,,
A5EB03E20204F6A0E040640A040252AD,2013,ATR,,,,,,
A5EB03E20205F6A0E040640A040252AD,2014,BAHASA DAERAH,,,,,,
A5EB03E201F6F6A0E040640A040252AD,2875,BAHASA INGGRIS,,,,,,
A5EB03E20206F6A0E040640A040252AD,2015,BALI GETTLE BREADING PROGRAM,,,,,,
A5EB03E20207F6A0E040640A040252AD,2016,BENDAHARAWAN B,,,,,,
A5EB03E20208F6A0E040640A040252AD,2017,BENDAHARAWAN BARANG,,,,,,
A5EB03E20209F6A0E040640A040252AD,2018,BENDAHARAWAN PROYEK IPJK/IBRD,,,,,,
A5EB03E2020CF6A0E040640A040252AD,2021,BID. PENYEHATAN PEMUKIMAN LING,,,,,,
A5EB03E2020AF6A0E040640A040252AD,2019,BIDANG PEMUKIMAN,,,,,,
A5EB03E2020BF6A0E040640A040252AD,2020,BIDANG PERSAMPAHAN,,,,,,
A5EB03E2020DF6A0E040640A040252AD,2022,BIMB. EKONOMI PERTANIAN,,,,,,
A5EB03E2020EF6A0E040640A040252AD,2023,BIMB. MASYARAKAT PROG.PERBAIKAN KAMPUNG,,,,,,
A5EB03E2020FF6A0E040640A040252AD,2024,BIMB. PERENCANAAN TENAGA KERJA DAERAH,,,,,,
A5EB03E20212F6A0E040640A040252AD,2027,BIMB. TEHNIS PENYELESAIAN HUKUM,,,,,,
A5EB03E20211F6A0E040640A040252AD,2026,BIMB. TEKNIK PEMBANGUNAN,,,,,,
A5EB03E20210F6A0E040640A040252AD,2025,BIMB. TEKNIS MASALAH SOSPOL,,,,,,
D834501E63B03A8CE050640AF10824F4,3138,BIMTEK MEDIA SOSIAL,,,,,,
D834501E63A93A8CE050640AF10824F4,3131,BIMTEK PENGEMBANGAN SERTIFIKASI (BNSP),,,,,,
D834501E63C23A8CE050640AF10824F4,3156,BIMTEK PENYUSUNAN PR,,,,,,
D834501E63B13A8CE050640AF10824F4,3139,BIMTEK PRODUSER TV/PRODUSER,,,,,,
A5EB03E20213F6A0E040640A040252AD,2028,BINA MUTU PERIKANAN,,,,,,
A5EB03E20214F6A0E040640A040252AD,2029,BINA WISATA,,,,,,
