TABREF JENIS_KURSUS_ID,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E201F8F6A0E040640A040252AD,ADMINISTRASI KEUANGAN DAERAH,,Name,Null?,Type,Parameter,Keterangan
A5EB03E201F9F6A0E040640A040252AD,ADMINISTRASI PERKANTORAN,,ID,NOT NULL,VARCHAR2(32),,ID yang otomatis ter-generate saat data dibuat
A5EB03E201FAF6A0E040640A040252AD,AIR LIMBAH,,NAMA,,VARCHAR2(60),,Nama Jenis Kursus
A5EB03E201FBF6A0E040640A040252AD,ALIH TEKNOLOGI,,,,,,
A5EB03E201FCF6A0E040640A040252AD,AMDAL A DAN B,,,,,,
A5EB03E201FDF6A0E040640A040252AD,ANALISA STATISTIK/DEMOGRAFI,,,,,,
A5EB03E201FEF6A0E040640A040252AD,ANALISIS JABATAN,,,,,,
A5EB03E201FFF6A0E040640A040252AD,ANIMAL NATION,,,,,,
A5EB03E20200F6A0E040640A040252AD,APLIKASI KEPEGAWAIAN,,,,,,
A5EB03E20201F6A0E040640A040252AD,ARGONOMI,,,,,,
A5EB03E20202F6A0E040640A040252AD,ASPAL BUTAS,,,,,,
A5EB03E20203F6A0E040640A040252AD,ASPAL HOTMIX,,,,,,
A5EB03E20204F6A0E040640A040252AD,ATR,,,,,,
A5EB03E20205F6A0E040640A040252AD,BAHASA DAERAH,,,,,,
A5EB03E201F6F6A0E040640A040252AD,BAHASA INGGRIS,,,,,,
A5EB03E20206F6A0E040640A040252AD,BALI GETTLE BREADING PROGRAM,,,,,,
A5EB03E20207F6A0E040640A040252AD,BENDAHARAWAN B,,,,,,
A5EB03E20208F6A0E040640A040252AD,BENDAHARAWAN BARANG,,,,,,
A5EB03E20209F6A0E040640A040252AD,BENDAHARAWAN PROYEK IPJK/IBRD,,,,,,
A5EB03E2020CF6A0E040640A040252AD,BID. PENYEHATAN PEMUKIMAN LING,,,,,,
A5EB03E2020AF6A0E040640A040252AD,BIDANG PEMUKIMAN,,,,,,
A5EB03E2020BF6A0E040640A040252AD,BIDANG PERSAMPAHAN,,,,,,
A5EB03E2020DF6A0E040640A040252AD,BIMB. EKONOMI PERTANIAN,,,,,,
A5EB03E2020EF6A0E040640A040252AD,BIMB. MASYARAKAT PROG.PERBAIKAN KAMPUNG,,,,,,
A5EB03E2020FF6A0E040640A040252AD,BIMB. PERENCANAAN TENAGA KERJA DAERAH,,,,,,
A5EB03E20212F6A0E040640A040252AD,BIMB. TEHNIS PENYELESAIAN HUKUM,,,,,,
A5EB03E20211F6A0E040640A040252AD,BIMB. TEKNIK PEMBANGUNAN,,,,,,
A5EB03E20210F6A0E040640A040252AD,BIMB. TEKNIS MASALAH SOSPOL,,,,,,
D834501E63B03A8CE050640AF10824F4,BIMTEK MEDIA SOSIAL,,,,,,
D834501E63A93A8CE050640AF10824F4,BIMTEK PENGEMBANGAN SERTIFIKASI (BNSP),,,,,,
D834501E63C23A8CE050640AF10824F4,BIMTEK PENYUSUNAN PR,,,,,,
D834501E63B13A8CE050640AF10824F4,BIMTEK PRODUSER TV/PRODUSER,,,,,,
A5EB03E20213F6A0E040640A040252AD,BINA MUTU PERIKANAN,,,,,,
A5EB03E20214F6A0E040640A040252AD,BINA WISATA,,,,,,
A5EB03E20215F6A0E040640A040252AD,BKP,,,,,,
A5EB03E20216F6A0E040640A040252AD,BRIDGE ENGINER ENG COURSE,,,,,,
A5EB03E20217F6A0E040640A040252AD,"BUDIDAYA PADI,PALAWIJA,HORTIKULTURA",,,,,,
A5EB03E20218F6A0E040640A040252AD,BUDIDAYA TANAMAN HIAS,,,,,,
A5EB03E20219F6A0E040640A040252AD,CALON PENYULUH P2DT,,,,,,
A5EB03E2021AF6A0E040640A040252AD,COACHING KEUANGAN DAN BENDAHARAWAN,,,,,,
A5EB03E2021BF6A0E040640A040252AD,CONTRUKTION MANAJEMEN COURSE IN JAPAN,,,,,,
A5EB03E2021CF6A0E040640A040252AD,CROPING SISTEM,,,,,,
A5EB03E2049FF6A0E040640A040252AD,DAL HAMA ORYETES SP SECARA BIOLOGIS,,,,,,
A5EB03E2021DF6A0E040640A040252AD,DEMOGRAFI,,,,,,
A5EB03E2021EF6A0E040640A040252AD,DIARE,,,,,,
D834501E63AD3A8CE050640AF10824F4,DIKAT PERENCANAAN ANGGARAN,,,,,,
A5EB03E20234F6A0E040640A040252AD,DIKL PENINGK.TRAMP.TEK.KERAJINAN PERKOP.,,,,,,
D834501E63AB3A8CE050640AF10824F4,DIKLAT ACCOUNT EXECUTIVE,,,,,,
A5EB03E2022BF6A0E040640A040252AD,DIKLAT ADMINISTRASI KESOSIALAN,,,,,,
A5EB03E2021FF6A0E040640A040252AD,DIKLAT APARATUR TEKNIS FUNGSIONAL,,,,,,
A5EB03E20220F6A0E040640A040252AD,DIKLAT BINA MARGA,,,,,,
D834501E63B73A8CE050640AF10824F4,DIKLAT DASAR KAMERAMEN,,,,,,
A5EB03E2022CF6A0E040640A040252AD,DIKLAT DASAR KLH,,,,,,
D834501E63B23A8CE050640AF10824F4,DIKLAT DRONE,,,,,,
D834501E63AE3A8CE050640AF10824F4,DIKLAT DVBT2,,,,,,
