"TABREF LOKASI
 (Tempat lahir (jenis: KB) dan lokasi kerja)",Update: 13/10/2021,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
ID,KANREG_ID,LOKASI_ID,NAMA,JENIS,JENIS_KABUPATEN,CEPAT_KODE,,META DATA,,,,
A5EB03E21F03F6A0E040640A040252AD,01,,JAWA TENGAH,P,,3300000000,,Name,Null?,Type,Parameter,Keterangan
ff80808140151b37014033f528684517,08,,KALIMANTAN UTARA,P,,6500000000,,ID,NOT NULL,VARCHAR2(32),,ID yang otomatis ter-generate saat data dibuat
A5EB03E21F04F6A0E040640A040252AD,05,,KALIMANTAN BARAT,P,,6100000000,,KANREG_ID,,VARCHAR(2),,ID Kanreg
A5EB03E21F05F6A0E040640A040252AD,05,,JAKARTA,P,,3100000000,,LOKASI_ID,,VARCHAR2(32),,ID dari Lokasi Kerja
A5EB03E21F06F6A0E040640A040252AD,08,,KALIMANTAN SELATAN,P,,6300000000,,NAMA,NOT NULL,VARCHAR2(40),,Nama Lokasi Kerja
A5EB03E21F07F6A0E040640A040252AD,08,,KALIMANTAN TIMUR,P,,6400000000,,JENIS,NOT NULL,VARCHAR(5),,"Jenis lokasi NG: Negara, KA: Kota Asing , P: Provinsi, KB: Kabupaten/Kota, KC: Kecamatan, DE:Kelurahan/Desa"
A5EB03E21F08F6A0E040640A040252AD,05,,LAMPUNG,P,,1800000000,,JENIS_KABUPATEN,,VARCHAR(5),,"Jenis kabupaten: KOT:Kota, KBP: Kabupaten"
A5EB03E21F09F6A0E040640A040252AD,10,,BALI,P,,5100000000,,CEPAT_KODE,,VARCHAR(10),,Cepat kode 10 digit
A5EB03E21F0AF6A0E040640A040252AD,13,,ACEH,P,,1100000000,,,,,,
A5EB03E21F0BF6A0E040640A040252AD,11,,SULAWESI UTARA,P,,7100000000,,,,,,
A5EB03E21F0CF6A0E040640A040252AD,12,,SUMATERA BARAT,P,,1300000000,,,,,,
A5EB03E21F0DF6A0E040640A040252AD,12,,RIAU,P,,1400000000,,,,,,
A5EB03E21F0EF6A0E040640A040252AD,07,,SUMATERA SELATAN,P,,1600000000,,,,,,
A5EB03E21F0FF6A0E040640A040252AD,04,,SULAWESI TENGAH,P,,7200000000,,,,,,
A5EB03E21F10F6A0E040640A040252AD,04,,SULAWESI SELATAN,P,,7300000000,,,,,,
A5EB03E21F11F6A0E040640A040252AD,03,,BANTEN,P,,3600000000,,,,,,
A5EB03E21F12F6A0E040640A040252AD,01,,D I YOGYAKARTA,P,,3400000000,,,,,,
A5EB03E21F13F6A0E040640A040252AD,03,,JAWA BARAT,P,,3200000000,,,,,,
A5EB03E21F14F6A0E040640A040252AD,11,,GORONTALO,P,,7500000000,,,,,,
A5EB03E21F15F6A0E040640A040252AD,04,,MALUKU,P,,8100000000,,,,,,
A5EB03E21F16F6A0E040640A040252AD,09,,PAPUA,P,,8200000000,,,,,,
A5EB03E21F17F6A0E040640A040252AD,06,,SUMATERA UTARA,P,,1200000000,,,,,,
