TABREF PROFESI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E206F3F6A0E040640A040252AD,A-I ( AKTA SATU ),,Name,Null?,Type,Parameter,Keterangan
A5EB03E20714F6A0E040640A040252AD,A-I ADM. KETERAMPILAN,,ID,NOT NULL,VARCHAR2(32),,ID yang otomatis ter-generate saat data dibuat
A5EB03E20715F6A0E040640A040252AD,A-I ADM. KEU.,,NAMA,NOT NULL,VARCHAR2(40),,Nama Profesi
A5EB03E20716F6A0E040640A040252AD,A-I ADM. PENDIDIKAN,,,,,,
A5EB03E20718F6A0E040640A040252AD,A-I ADM. PERKANTORAN,,,,,,
A5EB03E2071AF6A0E040640A040252AD,A-I ADM. PERUSAHAAN,,,,,,
A5EB03E20717F6A0E040640A040252AD,A-I ADM. SUPERVISI PEND.,,,,,,
A5EB03E20719F6A0E040640A040252AD,A-I ADM. TATA PERKANTORAN,,,,,,
A5EB03E2071DF6A0E040640A040252AD,A-I ADM.ILMU ADM. NEGARA,,,,,,
A5EB03E20712F6A0E040640A040252AD,A-I ADMINISTRASI,,,,,,
A5EB03E20713F6A0E040640A040252AD,A-I ADMINISTRASI EKONOMI,,,,,,
A5EB03E2071BF6A0E040640A040252AD,A-I ADMINISTRASI SEKOLAH,,,,,,
A5EB03E2071CF6A0E040640A040252AD,A-I ADMINISTRASI SOSIAL,,,,,,
A5EB03E207D4F6A0E040640A040252AD,A-I ARSITEKTUR,,,,,,
A5EB03E207C1F6A0E040640A040252AD,A-I BAHASA,,,,,,
A5EB03E206F7F6A0E040640A040252AD,A-I BAHASA DAERAH,,,,,,
A5EB03E206FBF6A0E040640A040252AD,A-I BAHASA & SASTRA ARAB,,,,,,
A5EB03E206F4F6A0E040640A040252AD,A-I BAHASA & SASTRA BALI,,,,,,
A5EB03E206FDF6A0E040640A040252AD,A-I BAHASA & SASTRA CINA,,,,,,
A5EB03E207C3F6A0E040640A040252AD,A-I BAHASA & SASTRA JAWA,,,,,,
A5EB03E20706F6A0E040640A040252AD,A-I BAHASA ARAB,,,,,,
A5EB03E20709F6A0E040640A040252AD,A-I BAHASA ASING,,,,,,
A5EB03E20707F6A0E040640A040252AD,A-I BAHASA BALI,,,,,,
A5EB03E20708F6A0E040640A040252AD,A-I BAHASA BATAK,,,,,,
A5EB03E2070AF6A0E040640A040252AD,A-I BAHASA BELANDA,,,,,,
A5EB03E2070BF6A0E040640A040252AD,A-I BAHASA CINA/CINOLOGI,,,,,,
A5EB03E206FAF6A0E040640A040252AD,A-I BHS & SAS. ASING,,,,,,
A5EB03E207C5F6A0E040640A040252AD,A-I BHS & SAS. BATAK,,,,,,
A5EB03E206FCF6A0E040640A040252AD,A-I BHS & SAS. BELANDA,,,,,,
A5EB03E206F6F6A0E040640A040252AD,A-I BHS & SAS. DAERAH,,,,,,
A5EB03E206FEF6A0E040640A040252AD,A-I BHS & SAS. INDIA,,,,,,
A5EB03E207C2F6A0E040640A040252AD,A-I BHS & SAS. INDONESIA,,,,,,
A5EB03E206FFF6A0E040640A040252AD,A-I BHS & SAS. INGGRIS,,,,,,
A5EB03E20700F6A0E040640A040252AD,A-I BHS & SAS. JEPANG,,,,,,
A5EB03E20701F6A0E040640A040252AD,A-I BHS & SAS. JERMAN,,,,,,
A5EB03E20702F6A0E040640A040252AD,A-I BHS & SAS. KOREA,,,,,,
A5EB03E206F5F6A0E040640A040252AD,A-I BHS & SAS. MINANGKABAU,,,,,,
A5EB03E20703F6A0E040640A040252AD,A-I BHS & SAS. PERANCIS,,,,,,
A5EB03E20704F6A0E040640A040252AD,A-I BHS & SAS. RUSIA,,,,,,
A5EB03E20705F6A0E040640A040252AD,A-I BHS & SAS. SLAVIA,,,,,,
A5EB03E207C4F6A0E040640A040252AD,A-I BHS & SAS. SUNDA,,,,,,
A5EB03E206F8F6A0E040640A040252AD,A-I BHS SEJARAH & BUDAYA,,,,,,
A5EB03E206F9F6A0E040640A040252AD,A-I BHS SEJARAH BHS BALI,,,,,,
A5EB03E20730F6A0E040640A040252AD,A-I BIMBINGAN & PENYULUHAN,,,,,,
A5EB03E20731F6A0E040640A040252AD,A-I BP ADM. PENDIDIKAN,,,,,,
A5EB03E20732F6A0E040640A040252AD,A-I BP ADM.SUPERVISI PEND.,,,,,,
A5EB03E20733F6A0E040640A040252AD,A-I BP BIMB. & KONSELING,,,,,,
A5EB03E20734F6A0E040640A040252AD,A-I BP BIMB. & PENYULUH,,,,,,
A5EB03E20735F6A0E040640A040252AD,A-I BP DIDAKTIK,,,,,,
A5EB03E20736F6A0E040640A040252AD,A-I BP DIDAKTIK& KURIKULUM,,,,,,
A5EB03E20740F6A0E040640A040252AD,A-I BP KEOLAHRAGAAN,,,,,,
A5EB03E2073AF6A0E040640A040252AD,A-I BP KURIKL PERSEK/PENG.,,,,,,
A5EB03E2073DF6A0E040640A040252AD,A-I BP KURIKL. PENYULUHAN,,,,,,
A5EB03E2073BF6A0E040640A040252AD,A-I BP KURIKL.& TEK.PEND.,,,,,,
A5EB03E2073CF6A0E040640A040252AD,A-I BP KURIKULUM PEND.,,,,,,
